fid,x,y
608,598954.883020687,5026522.326761942
633,595185.9583733625,5023211.246012346
636,603828.4906855582,5033598.001564523
649,670868.2382128035,5038846.991422989
650,660644.9636242496,5045688.249881239
652,695851.8764065609,5046346.473051944
654,671590.3195599797,5049155.935426041
655,673004.6512319021,5049010.041596944
656,634482.5296733628,5069019.065842174
657,645494.2507237113,5059359.006998848
659,680304.0474870546,5041079.093298155
