source,cluster_id,threshold,area_km2,prob_max,prob_mean,centroid_x,centroid_y,dist_to_known_m,n_known_inside,score_size,score_discovery,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,pred_prob_mean_feat,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,835,0.85,0.0788,0.9245,0.8822,691377.18,5028878.77,3129.74,0,0.069474,7.441078,Cambisols,0.923,184.1,3,88.4,0.8758,0.13849,0.06422,0.10818,0.04925,0.01691
thr85_all,836,0.85,0.0125,0.8918,0.8715,632167.5,5028905.0,6050.11,0,0.010893,7.765928,Cambisols,8.605,169.5,1,178.5,0.8811,0.07728,0.19348,0.12628,0.00226,-0.01694
thr85_all,837,0.85,0.0306,0.9181,0.8891,691832.91,5028861.48,3002.24,0,0.027229,7.351327,Cambisols,0.858,159.9,3,88.8,0.8897,0.1398,0.07289,0.10609,0.04761,0.02459
thr85_all,838,0.85,0.0131,0.8872,0.8728,673062.5,5028837.5,509.46,0,0.011455,5.532238,Cambisols,0.758,125.4,1,87.0,0.88,0.13171,0.06479,0.12481,0.01902,0.04094
thr85_all,839,0.85,0.0325,0.8833,0.8638,674385.1,5028775.0,1627.7,0,0.028072,6.532255,Cambisols,1.185,155.2,1,89.0,0.8655,0.13883,0.05915,0.13107,0.01705,0.02065
thr85_all,840,0.85,0.0144,0.9025,0.8699,626266.85,5028628.8,539.34,0,0.012504,5.678511,Cambisols,7.164,280.0,1,173.5,0.8556,0.06912,0.14804,0.13017,0.00146,0.00812
thr85_all,841,0.85,0.0106,0.8789,0.864,672512.5,5028668.38,710.91,0,0.00918,5.772501,Cambisols,0.973,161.5,1,89.1,0.8506,0.13579,0.0603,0.11227,0.01829,0.02519
thr85_all,842,0.85,0.0138,0.9056,0.8861,692301.14,5028585.23,2481.89,0,0.012184,7.079573,Cambisols,0.871,201.6,3,89.1,0.8871,0.14171,0.06737,0.10768,0.04761,0.02404
thr85_all,843,0.85,0.0481,0.9174,0.8927,665337.82,5028388.15,2923.9,0,0.042961,7.321758,Luvisols,6.298,738.4,1,108.4,0.9067,0.07579,0.22582,0.03657,0.01422,0.0556
thr85_all,844,0.85,0.0231,0.9471,0.9146,664821.28,5028529.39,2702.39,0,0.021151,7.484067,Luvisols,6.171,276.9,1,104.4,0.9172,0.06884,0.22312,0.07296,0.01706,0.03653
thr85_all,845,0.85,0.0219,0.8809,0.8634,673085.36,5028528.93,805.73,0,0.018886,5.895685,Cambisols,1.28,164.9,1,88.9,0.8456,0.13921,0.05826,0.11852,0.01621,0.01471
thr85_all,846,0.85,0.1581,0.915,0.9054,558286.51,5028158.65,10872.82,0,0.143167,8.504572,Cambisols,19.705,219.2,1,453.3,0.9141,0.07068,0.22698,0.12812,0.01094,-0.02138
thr85_all,847,0.85,0.0144,0.8784,0.8591,674641.85,5028447.28,1989.17,0,0.012349,6.672632,Cambisols,1.172,178.9,1,88.6,0.8468,0.13435,0.06183,0.1192,0.01678,0.01588
thr85_all,848,0.85,0.0131,0.9194,0.9001,691870.83,5028538.69,2751.51,0,0.011813,7.281985,Cambisols,1.223,146.3,3,88.6,0.9029,0.14661,0.05555,0.13078,0.05087,0.02041
thr85_all,849,0.85,0.0344,0.899,0.8778,692622.5,5028472.5,2192.82,0,0.030175,6.916072,Cambisols,1.233,238.0,3,88.7,0.8836,0.14426,0.06302,0.10484,0.05455,0.01819
thr85_all,850,0.85,0.085,0.915,0.9002,558875.18,5028325.74,10703.74,0,0.076517,8.490232,Cambisols,15.813,260.1,1,472.1,0.9096,0.07115,0.22837,0.11667,0.01187,-0.01717
thr85_all,851,0.85,0.0375,0.8664,0.8623,559275.83,5028303.33,10487.5,0,0.032337,8.021334,Cambisols,22.783,625.3,1,523.2,0.8614,0.06249,0.25462,0.05969,0.00888,-0.02299
thr85_all,852,0.85,0.0769,0.915,0.9044,557698.68,5028223.07,11259.72,0,0.069526,8.536564,Cambisols,18.238,207.3,1,432.7,0.9066,0.07285,0.22639,0.1256,0.00986,-0.02687
thr85_all,853,0.85,0.0163,0.8772,0.8651,692635.58,5028329.81,2071.63,0,0.014058,6.698466,Cambisols,-1.125,95.5,3,83.6,0.8328,0.1747,-0.02916,0.12042,0.0364,0.03168
