source,cluster_id,threshold,centroid_x,centroid_y,area_km2,prob_max,prob_mean,dist_to_known_m,n_known_inside,val_vtt_r100,val_rel_vis,val_dist_rijeka,val_strahler,val_aps_vis,attr_type,pc1,pc2,shap_vtt_r100,shap_rel_vis_100_250,shap_dist_rijeka_korig,shap_strahler,shap_aps_vis
thr85_all,554,0.85,578112.5,5043565.62,0.01,0.8664,0.8633,8494.31,0,Cambisols,13.552,655.8,1,532.7,2,1.4278259827714328,-0.7415198716716618,0.06305,0.25688,0.06205,0.00977,-0.02406
thr85_all,555,0.85,605363.46,5043474.68,0.0975,0.9273,0.8982,9995.24,0,Cambisols,14.649,299.4,1,285.8,0,0.3356615673119818,-0.640125278002176,0.07069,0.23257,0.1118,0.01232,0.00116
thr85_all,556,0.85,579702.58,5043260.91,0.0394,0.915,0.8964,7261.47,0,Cambisols,16.439,293.8,1,459.5,0,0.38988286789364296,-1.0759316257056002,0.06916,0.22976,0.11718,0.01188,-0.01182
thr85_all,557,0.85,583038.69,5043327.98,0.0131,0.8664,0.8619,6085.71,0,Cambisols,15.233,624.6,1,526.6,2,1.4582127634350566,-0.6737723105531243,0.06249,0.25462,0.05969,0.00888,-0.02299
thr85_all,558,0.85,607438.54,5043284.38,0.015,0.9273,0.8817,10337.23,0,Cambisols,11.599,342.0,1,237.9,2,1.0769694491271466,-0.405135573474611,0.06494,0.2509,0.07284,0.01118,-0.00761
thr85_all,559,0.85,604863.5,5043200.5,0.0156,0.9128,0.8718,9658.12,0,Cambisols,9.386,243.3,1,264.8,0,0.34383012115342537,-1.3818121053089651,0.06528,0.18711,0.11462,0.00913,-0.02572
thr85_all,560,0.85,580181.69,5043113.66,0.0269,0.915,0.9021,6874.28,0,Cambisols,12.232,229.8,1,417.8,0,0.3753091713138109,-1.5205153310593358,0.06945,0.22857,0.12787,0.01051,-0.02273
thr85_all,561,0.85,581081.25,5043137.5,0.01,0.8664,0.8629,6461.84,0,Cambisols,13.298,621.3,1,498.9,2,1.4243184596866316,-0.6284506613952565,0.06276,0.2526,0.05977,0.00899,-0.02143
thr85_all,562,0.85,645122.5,5043133.75,0.0125,0.9506,0.9092,9281.84,0,Luvisols,5.84,271.3,2,109.7,4,0.4867576226376517,1.5517379646948768,0.04744,0.2216,0.06687,0.01998,0.05647
thr85_all,563,0.85,616261.03,5043131.62,0.0106,0.8649,0.8589,1805.03,0,Luvisols,6.999,432.7,1,156.6,4,1.1006352830614559,1.453881290166623,0.06277,0.21792,0.03246,0.00569,0.03691
thr85_all,564,0.85,615574.4,5043056.55,0.0131,0.879,0.8664,2494.37,0,Luvisols,8.87,447.6,1,156.4,4,1.4149203283654506,1.094920728985547,0.0511,0.24815,0.04122,0.00724,0.02892
thr85_all,565,0.85,578668.75,5043032.29,0.015,0.9111,0.8881,7725.53,0,Cambisols,10.501,184.7,1,471.2,0,0.30000667707653517,-1.7106060879107154,0.07302,0.21724,0.12844,0.00999,-0.02932
thr85_all,566,0.85,583384.58,5042567.03,0.1069,0.8664,0.8621,5291.26,0,Cambisols,16.767,627.8,1,550.7,2,1.4582127634350566,-0.6737723105531243,0.06249,0.25462,0.05969,0.00888,-0.02299
thr85_all,567,0.85,579221.15,5042976.92,0.0163,0.9141,0.9012,7323.93,0,Cambisols,11.393,214.3,1,412.4,0,0.4261710286367957,-1.6150835397878296,0.07119,0.22482,0.12409,0.00959,-0.02781
thr85_all,568,0.85,582572.18,5042838.31,0.0387,0.915,0.9002,5686.5,0,Cambisols,19.786,270.3,1,491.2,0,0.4155095314933017,-1.2173019631814626,0.07127,0.22855,0.11627,0.01129,-0.0171
thr85_all,569,0.85,606516.5,5042941.0,0.0312,0.9273,0.8962,9721.99,0,Cambisols,16.054,323.6,1,261.8,0,0.392150862069135,-0.5386993970104993,0.0725,0.23094,0.10325,0.0124,0.00099
thr85_all,570,0.85,582095.11,5042898.37,0.0144,0.8664,0.8621,5869.07,0,Cambisols,12.943,630.1,1,568.0,2,1.468393362169508,-0.6897467371730615,0.06241,0.25524,0.05971,0.00885,-0.02352
thr85_all,571,0.85,603980.88,5042698.04,0.1156,0.925,0.9094,9101.31,0,Cambisols,16.289,244.5,1,341.6,0,0.4819362586946018,-1.315450269179131,0.07041,0.23208,0.11814,0.01004,-0.01977
thr85_all,572,0.85,603378.57,5042743.75,0.0175,0.8614,0.8564,9156.81,0,Cambisols,15.512,650.1,1,407.5,2,1.5029349051174474,-0.8074081273492195,0.06149,0.25783,0.06103,0.00925,-0.02692
thr85_all,573,0.85,607028.68,5042725.0,0.0213,0.8786,0.8676,9671.78,0,Cambisols,13.565,669.1,1,281.0,2,1.3502701902439826,-0.2914267383796851,0.06501,0.25826,0.05696,0.01017,-0.01049
thr85_all,574,0.85,578976.21,5042680.24,0.0194,0.9116,0.8952,7258.19,0,Cambisols,11.245,158.9,1,446.1,0,0.3070864248036651,-1.7623058848551043,0.07359,0.22325,0.13192,0.00952,-0.02939
thr85_all,575,0.85,633618.48,5042685.33,0.0288,0.9417,0.916,4080.3,0,Luvisols,5.747,194.5,1,113.9,4,0.24186308811235893,1.2996594789415463,0.05371,0.21487,0.09635,0.00935,0.05936
thr85_all,576,0.85,578438.75,5042591.25,0.0125,0.915,0.8985,7566.46,0,Cambisols,10.92,262.0,1,512.4,0,0.4386988819428083,-1.4183078998906529,0.06978,0.22315,0.11695,0.01158,-0.02401
thr85_all,577,0.85,604920.56,5042589.92,0.0194,0.9223,0.8879,9057.99,0,Cambisols,13.703,328.3,1,321.5,0,0.5236411125008372,-0.8280878383927393,0.06995,0.23583,0.1056,0.01175,-0.00806
thr85_all,578,0.85,582221.21,5042481.88,0.0556,0.915,0.9027,5433.93,0,Cambisols,15.287,254.8,1,502.0,0,0.4710059437385874,-1.1304394822739987,0.06871,0.22574,0.11202,0.01138,-0.01621
thr85_all,579,0.85,579878.46,5042455.59,0.0294,0.915,0.8893,6507.22,0,Cambisols,14.503,313.5,1,455.0,0,0.45553717092319745,-1.074164260918639,0.06945,0.23402,0.11363,0.0123,-0.01308
thr85_all,580,0.85,634469.08,5042470.83,0.0356,0.9573,0.9024,3884.23,0,Luvisols,6.256,240.5,1,113.7,4,0.3097564734311805,1.4674217651625747,0.05299,0.21735,0.08894,0.01027,0.06209
thr85_all,581,0.85,579532.27,5042392.15,0.0269,0.915,0.8897,6675.2,0,Cambisols,16.109,320.1,1,475.5,0,0.45374662776299796,-1.084672698904693,0.06997,0.23392,0.11376,0.01206,-0.01339
