group,fid,dist_rijeka_m
nasumicno,155,1165.29
nasumicno,156,217.96
nasumicno,157,1104.57
nasumicno,158,1235.19
nasumicno,159,1426.17
nasumicno,160,102.29
nasumicno,161,2198.4
nasumicno,162,1086.0
nasumicno,163,734.11
nasumicno,164,4275.51
nasumicno,165,2396.07
nasumicno,166,2878.62
nasumicno,167,217.25
nasumicno,168,1965.92
nasumicno,169,327.81
nasumicno,170,587.59
nasumicno,171,73.14
nasumicno,172,1923.78
nasumicno,173,243.48
nasumicno,174,698.85
nasumicno,175,883.7
nasumicno,176,44.97
nasumicno,177,751.09
nasumicno,178,1655.14
nasumicno,179,782.7
nasumicno,180,417.01
nasumicno,181,1574.68
nasumicno,182,2068.01
nasumicno,183,268.84
nasumicno,184,1329.13
nasumicno,185,1438.77
nasumicno,186,2502.47
nasumicno,187,3227.85
nasumicno,188,1529.26
nasumicno,189,2440.23
nasumicno,190,1033.38
nasumicno,191,1940.44
nasumicno,192,382.37
nasumicno,193,289.83
nasumicno,194,1572.15
nasumicno,195,1182.1
nasumicno,196,1658.2
nasumicno,197,451.0
nasumicno,198,1851.87
nasumicno,199,2434.96
nasumicno,200,1028.35
nasumicno,201,2996.07
nasumicno,202,805.71
nasumicno,203,718.86
nasumicno,204,125.91
nasumicno,205,432.67
nasumicno,206,689.54
nasumicno,207,989.88
nasumicno,208,1303.44
nasumicno,209,25.29
nasumicno,210,437.93
nasumicno,211,593.58
nasumicno,212,1752.38
nasumicno,213,1046.7
nasumicno,214,540.75
nasumicno,215,715.57
nasumicno,216,579.08
nasumicno,217,491.48
nasumicno,218,2228.2
nasumicno,219,2235.72
nasumicno,220,2789.1
nasumicno,221,1103.09
nasumicno,222,440.96
nasumicno,223,674.74
nasumicno,224,213.63
nasumicno,225,36.18
nasumicno,226,286.77
nasumicno,227,277.4
nasumicno,228,4157.97
nasumicno,229,281.82
nasumicno,230,390.32
nasumicno,231,3741.9
nasumicno,232,122.0
nasumicno,233,990.35
nasumicno,234,879.45
nasumicno,235,976.64
nasumicno,236,1998.69
nasumicno,237,996.84
nasumicno,238,823.16
nasumicno,239,1807.15
nasumicno,240,3225.38
nasumicno,241,463.05
nasumicno,242,1079.6
nasumicno,243,2665.64
nasumicno,244,856.68
nasumicno,245,2152.84
nasumicno,246,4181.94
nasumicno,247,2153.04
nasumicno,248,752.32
nasumicno,249,416.87
nasumicno,250,837.57
nasumicno,251,1083.99
nasumicno,252,2684.98
nasumicno,253,38.17
nasumicno,254,608.24
nasumicno,255,1646.1
nasumicno,256,284.77
nasumicno,257,2457.07
nasumicno,258,609.06
nasumicno,259,1826.42
nasumicno,260,1078.6
nasumicno,261,41.19
nasumicno,262,1774.74
nasumicno,263,680.86
nasumicno,264,2084.34
nasumicno,265,549.01
nasumicno,266,18.87
nasumicno,267,2994.6
nasumicno,268,851.78
nasumicno,269,4663.76
nasumicno,270,3086.88
nasumicno,271,2106.32
nasumicno,272,814.67
nasumicno,273,376.41
nasumicno,274,2020.46
